cpu_request,mem_request,cpu_limit,mem_limit,runtime_minutes,cpu_usage,ck_DaemonSet,ck_Job,ck_ReplicaSet,ck_ReplicationController,ck_StatefulSet,ck_UNKNOWN
0.1,134217728,0.3,268435456,10723.6621,0.001197196749,0.0,0.0,1.0,0.0,0.0,0.0
0.1,268435456,0.3,536870912,10725.07877,0.001239828512,0.0,0.0,1.0,0.0,0.0,0.0
0.1,67108864,0.2,134217728,10722.4621,0.0003468676381,1.0,0.0,0.0,0.0,0.0,0.0
0.1,2147483648,0.5,4294967296,10723.49543,0.0007886997024,0.0,0.0,1.0,0.0,0.0,0.0
1.0,536870912,2.0,1073741824,10719.79543,1.38e-06,0.0,0.0,0.0,0.0,1.0,0.0
0.2,8589934592,1.0,10737418240,10724.49543,0.01213264082,0.0,0.0,0.0,0.0,1.0,0.0
0.01,33554432,0.1,67108864,10722.5121,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.01,25165824,0.2,104857600,10725.4621,1.15e-06,1.0,0.0,0.0,0.0,0.0,0.0
0.1,268435456,0.5,1073741824,10726.82877,0.002468538311,1.0,0.0,0.0,0.0,0.0,0.0
0.01,25165824,0.2,104857600,10727.29543,8.56e-07,1.0,0.0,0.0,0.0,0.0,0.0
0.01,25165824,0.2,104857600,10727.22877,7.98e-07,1.0,0.0,0.0,0.0,0.0,0.0
0.1,134217728,0.3,268435456,10723.73493,0.001197196749,0.0,0.0,1.0,0.0,0.0,0.0
0.01,134217728,0.1,268435456,10726.0621,0.001063733157,0.0,0.0,1.0,0.0,0.0,0.0
0.1,268435456,0.3,536870912,10725.1516,0.001239828512,0.0,0.0,1.0,0.0,0.0,0.0
0.1,134217728,0.3,268435456,10725.07877,0.0007657611093,0.0,0.0,1.0,0.0,0.0,0.0
0.1,67108864,0.2,134217728,10722.53493,0.0003468676381,1.0,0.0,0.0,0.0,0.0,0.0
0.5,536870912,1.0,1073741824,10725.52877,0.002308893493,0.0,0.0,1.0,0.0,0.0,0.0
0.1,2147483648,0.5,4294967296,10723.56827,0.0007886997024,0.0,0.0,1.0,0.0,0.0,0.0
0.1,134217728,0.3,268435456,10725.07877,0.000818527968,0.0,0.0,1.0,0.0,0.0,0.0
1.0,536870912,2.0,1073741824,10719.86827,1.38e-06,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0,0.0,0,10725.7621,0.003547457013,0.0,0.0,1.0,0.0,0.0,0.0
0.2,8589934592,1.0,10737418240,10724.56827,0.01213264082,0.0,0.0,0.0,0.0,1.0,0.0
0.01,33554432,0.1,67108864,10722.52877,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.1,268435456,2.0,2147483648,10726.22877,0.16514567,0.0,0.0,1.0,0.0,0.0,0.0
0.1,134217728,0.22,268435456,10726.1621,0.0001467707399,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10725.54543,0.004139301508,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,10722.32877,0.003027958668,1.0,0.0,0.0,0.0,0.0,0.0
3.072,3221225472,4.096,4294967296,10725.12877,0.08647143549,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10727.37877,0.03054139275,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,8406.795433,0.006348531001,0.0,0.0,1.0,0.0,0.0,0.0
0.1,50000000,0.2,100000000,2701.878767,0.005409054178,1.0,0.0,0.0,0.0,0.0,0.0
0.1,50000000,0.2,100000000,10724.6121,0.04125561783,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,8250.0621,0.0007785336481,1.0,0.0,0.0,0.0,0.0,0.0
0.1,134217728,0.3,268435456,10725.07877,0.0008890147207,0.0,0.0,1.0,0.0,0.0,0.0
0.75,536870912,1.0,2147483648,10722.47877,0.02511819266,1.0,0.0,0.0,0.0,0.0,0.0
1.5,3221225472,0.0,0,10723.77877,0.008229311924,0.0,0.0,0.0,0.0,1.0,0.0
0.05,2147483648,0.25,2147483648,10722.9621,0.00358837529,0.0,0.0,0.0,0.0,1.0,0.0
0.05,268435456,0.2,536870912,5256.028767,0.0195320983,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10725.34543,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.01,25165824,0.2,104857600,10727.22877,1.52e-06,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,10725.52877,0.04056384614,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,10723.74543,0.005877987169,0.0,0.0,1.0,0.0,0.0,0.0
0.2,67108864,0.5,268435456,10725.17877,0.001637586667,0.0,0.0,1.0,0.0,0.0,0.0
0.01,33554432,0.1,67108864,10722.58493,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.01,25165824,0.2,104857600,10725.53493,1.15e-06,1.0,0.0,0.0,0.0,0.0,0.0
0.1,268435456,0.5,1073741824,10726.9016,0.002468538311,1.0,0.0,0.0,0.0,0.0,0.0
0.01,25165824,0.2,104857600,10727.36827,8.56e-07,1.0,0.0,0.0,0.0,0.0,0.0
0.01,25165824,0.2,104857600,10727.3016,7.98e-07,1.0,0.0,0.0,0.0,0.0,0.0
